order_id,order_date,region,state,category,sub_category,sales,profit,quantity,discount
5f991d13-9aec-4a20-9afb-84c002a85359,2023-02-15,West,Colorado,Travel & Luggage,Backpacks,629.13,156.45,3,0.09
13677e57-3d31-4ac0-82d2-3154d8ceca7a,2023-05-16,East,Massachusetts,Smart Home,Smart Plugs,9899.12,-25.79,8,0.18
b163607a-3dfb-41cf-aec1-e95cc5c8c9e7,2023-01-16,South,Florida,Travel & Luggage,Backpacks,1952.7,551.05,2,0.17
744f368b-8b1e-4e32-861a-473f2419b739,2023-10-10,East,New Jersey,Beauty & Personal Care,Foundation,1223.2,423.36,8,0.25
c672ec9d-d30c-4b05-bbaa-7aa5992abc62,2023-06-16,East,New Jersey,Books & Stationery,Competitive Exam Prep,3451.6,493.08,8,0.0
58c76cfd-2dce-42f3-b298-cfd1f07647f8,2023-07-29,East,Connecticut,Toys & Games,Building Blocks,3873.45,1338.65,5,0.14
6ef0d45d-5a25-4b9b-b342-5f093512fa9c,2023-12-31,South,North Carolina,Pet Supplies,Pet Beds,2093.46,518.49,6,0.15
09228b83-ed01-42e9-9e2d-c25dcd406a1e,2023-10-11,West,Arizona,Electronics,Gaming Laptops,877.1,-27.12,10,0.22
313b59ce-7ed8-44e4-aae0-98b66f8ba1ac,2023-11-02,East,Massachusetts,Music & Instruments,Microphones,3497.76,-95.59,6,0.2
cd1a7a2c-fd70-4251-8c2f-cd3e9deb89fa,2023-12-08,South,Texas,Health & Wellness,First Aid Kits,5205.2,-57.57,5,0.08
7042ea1b-9d9f-49e9-bf55-817ed855a283,2023-03-13,East,Connecticut,Books & Stationery,Pens,1450.69,62.04,1,0.17
1614b087-7a90-4210-9718-412bdd531e99,2023-07-10,East,Massachusetts,Kitchen & Dining,Kitchen Storage,4757.97,-353.64,7,0.29
fb099bb8-992a-4135-b02a-6f9251ef9765,2023-09-20,West,Arizona,Beauty & Personal Care,Makeup Kits,606.99,-37.5,3,0.01
cd5e43a3-0c32-4c89-8ea4-49f2d29697ce,2023-11-28,West,Colorado,Sports & Fitness,Football,976.65,378.52,5,0.25
4f93bfe9-1a03-4676-817f-7ae0300f975d,2023-06-20,South,North Carolina,Electronics,SSD,2521.92,-8.39,8,0.23
dba15973-4c8d-4ff7-87c5-4bde9621c279,2023-02-10,West,California,Smart Home,Smart Plugs,2572.42,79.32,2,0.03
5b8086f8-47bc-42f8-8e41-6837dc806ccd,2023-09-20,South,Georgia,Sports & Fitness,Barbells,12621.6,1486.6,9,0.24
9f4d93a4-d942-4461-b4c3-47cfe8e7ca97,2023-11-30,West,Arizona,Health & Wellness,Knee Braces,11397.2,2131.08,8,0.12
bfdc8ad3-9dc6-47b0-b563-932b3eebfd69,2023-11-02,North,Pennsylvania,Beauty & Personal Care,Body Care,10282.37,818.0,7,0.2
17d637b9-df47-4696-a5b5-3fc8e0649299,2023-04-13,North,Illinois,Smart Home,Smart Cameras,4206.81,102.75,3,0.12
4f15dce5-daf2-4ef6-9891-5ffe8e1d0a98,2023-11-17,East,New Jersey,Electronics,Tripods,8851.98,1280.41,6,0.25
619f51f9-2c85-4a15-9127-ed17a20cc4d3,2023-05-11,East,New Jersey,Automotive,Tyre Inflators,1997.18,166.48,2,0.19
7f6561a2-f6ed-49fd-b3ed-1b4857fa33d9,2023-12-14,West,Colorado,Home & Living,Dining Tables,14346.1,90.48,10,0.1
6c8697ab-afc3-4d0f-b977-34428022f068,2023-11-26,South,Florida,Clothing & Fashion,Rainwear,117.08,36.21,2,0.19
e189c692-364f-46df-bf91-cec39febb1ff,2023-11-26,West,California,Office & Industrial,Scanners,154.17,21.7,3,0.08
efcbc17a-ad9a-4ef4-8f36-d9e1158833ec,2023-11-16,East,New Jersey,Sports & Fitness,Cricket Balls,6884.46,1419.08,6,0.24
e5f24088-d1e9-4ff9-a676-f255afa82888,2023-10-22,East,Maryland,Automotive,Tyre Inflators,1133.23,258.94,1,0.23
a73726f0-e0aa-4911-8fd2-ff624db6fc3e,2023-09-25,West,Arizona,Office & Industrial,Power Tools,5138.68,1645.18,4,0.25
8b3148d7-211b-461e-86f4-4d4f5e57abe8,2023-12-24,West,California,Gaming,Gaming Consoles,1420.66,197.06,1,0.05
46860ccc-3b22-472c-b62c-caa69e305b29,2023-04-10,South,Georgia,Pet Supplies,Pet Grooming,4397.96,219.05,4,0.27
cdb57ff9-3baf-4eeb-8de0-d292c855ba3f,2023-01-28,South,Georgia,Automotive,Engine Oil,119.2,2.97,5,0.2
b2a4ffd5-68f9-4904-9a28-00e0e7ea0f6c,2023-01-21,South,Florida,Office & Industrial,Shredders,421.75,68.27,1,0.28
4af8165b-204a-4329-bc5c-c3110562a7bd,2023-01-02,North,Pennsylvania,Smart Home,Video Doorbells,2806.2,-190.58,6,0.13
298b9a2e-4920-46ff-b228-d12dc0fc1d78,2023-10-26,East,New Jersey,Travel & Luggage,Travel Duffels,1679.04,489.99,4,0.08
ffa05959-982b-47c2-bde8-db15ba860d99,2023-09-05,West,Arizona,Kitchen & Dining,Spice Racks,4374.42,1124.45,6,0.29
631f89f6-d42b-4f0a-9938-a9a308b427e0,2023-10-17,West,Colorado,Electronics,Chargers,4363.26,220.34,6,0.21
fe669c17-72a2-4e33-888d-03029ab742e8,2023-03-12,North,New York,Pet Supplies,Pet Bowls,990.82,356.04,1,0.15
9dc2860c-542c-41f0-9211-4f11be24dbf1,2023-08-23,West,Colorado,Home & Living,TV Units,1935.63,171.38,3,0.23
161cf25e-df22-4fea-a2a8-155c5e014d2d,2023-03-09,North,Ohio,Baby & Kids,Baby Wipes,3329.3,-49.04,10,0.03
b52505cc-5460-48a7-b734-16983958605a,2023-05-08,East,Maryland,Music & Instruments,Drums,4771.17,552.45,9,0.19
d97d2522-147a-4501-b011-102a9733680f,2023-10-28,East,Massachusetts,Music & Instruments,Keyboards,4945.84,-74.4,8,0.23
222c62e0-1ce7-4499-b893-b06e2d51bc1e,2023-11-29,West,Arizona,Clothing & Fashion,Chinos,4834.8,619.84,6,0.24
c9d068d1-5848-4b74-ab62-45c9edf60f1e,2023-01-16,South,Florida,Travel & Luggage,Backpacks,4440.06,426.24,3,0.23
5ff26110-d2a5-45b1-ad37-792919ff3515,2023-11-16,South,Texas,Electronics,Action Cameras,2997.0,289.08,6,0.12
d6b148e0-b745-43ae-af85-9228bf6f5e5e,2023-09-21,East,Massachusetts,Kitchen & Dining,Gas Stoves,7913.22,2076.25,6,0.1
ec50dac4-718a-4606-a12f-24e6f0fe9d70,2023-06-04,West,Arizona,Beauty & Personal Care,Beard Trimmers,11600.8,1351.35,8,0.28
70984e8d-0bf4-42a8-95b9-572485999e0a,2023-12-22,East,Connecticut,Office & Industrial,Power Tools,11736.63,-71.62,9,0.22
4ec79c43-151b-4c20-ac93-b24959388e40,2023-11-17,South,Texas,Automotive,Vacuum Cleaners,937.3,316.62,2,0.13
0f62544a-9100-4eca-b687-55aeafdef33b,2023-02-27,North,Ohio,Kitchen & Dining,Microwave Ovens,9815.33,3281.26,7,0.17
7ea66377-1723-451e-be16-55320f513986,2023-08-24,West,Arizona,Clothing & Fashion,Thermals,108.38,7.63,1,0.24
6b5f37a6-543e-4520-88a8-f03d0b136551,2023-02-11,South,Georgia,Books & Stationery,Pens,42.29,-0.72,1,0.22
4a32cdd2-610e-443e-adae-6cf39be708c4,2023-08-27,North,New York,Electronics,Gaming Consoles,1389.64,361.99,4,0.15
76158764-aecb-466c-a42f-44b736cd9059,2023-12-10,West,California,Beauty & Personal Care,Men Grooming Kits,9722.64,1765.51,8,0.05
db16239a-c896-4aa9-9dcd-bb7ef74e8cc1,2023-05-11,North,New York,Automotive,Polish,1145.16,141.79,3,0.01
62aebeea-260c-4db5-8d96-6d347cc392f1,2023-12-13,North,Illinois,Beauty & Personal Care,Hair Oil,4155.4,153.82,4,0.08
0ca768f8-dc57-429d-a057-c3cefecdc2ec,2023-05-27,West,California,Footwear,Formal Shoes,3711.87,277.68,9,0.16
